200000 200000
2 13300 196415
2 118190 173010
1 72509 185735
2 40598 145427
2 42917 74913
1 13498 101906
2 83941 153853
2 14210 45993
1 28918 150994
2 12713 59134
2 9129 115010
1 43671 98444
1 28333 29406
1 148606 174833
1 115483 134102
1 139058 152360
1 36301 77513
2 50512 110533
1 117858 130883
2 93344 189413
2 8355 75720
1 91679 106799
2 135133 197001
2 91 58480
2 31927 76909
1 53899 87337
2 81202 160739
1 137784 191736
1 38971 160823
2 12780 28384
2 20456 193803
1 28487 100306
2 25488 134129
2 320 113709
2 77229 184475
1 105696 131128
1 8219 62925
1 146004 172807
2 23179 49554
1 44158 152312
1 132107 146115
1 46421 61115
2 96902 180571
2 67863 126964
1 111439 155247
1 74558 133487
1 196412 197558
1 1761 85572
2 135126 197699
2 95636 148961
2 128606 144096
2 5211 45060
0 102134 190001
2 160430 169998
1 47532 125245
2 11864 116156
2 23676 113714
2 31827 160059
2 29527 42447
2 94840 148014
2 23446 122245
1 68506 158943
0 58507 158414
2 54788 135290
1 78126 99174
1 27390 45608
1 30225 51066
1 11126 127606
1 26912 169925
2 34291 61343
1 107763 156536
2 31831 98279
1 10359 190245
2 108221 161386
2 39512 92433
0 85120 118242
1 31697 60208
2 115888 159304
2 102568 119747
1 69486 163911
1 114064 188027
2 2658 182089
1 13017 34973
1 121238 146364
2 25749 130023
1 4308 48266
1 93906 108474
2 67275 140714
1 51769 176813
2 6189 46299
1 111251 160364
1 58805 172850
2 66279 93778
2 66306 156494
1 144071 182243
2 61349 186552
2 180099 196810
2 64085 130546
2 32207 156650
1 1673 154748
2 10608 65999
1 7570 38849
1 21481 123543
2 4139 52533
1 19113 148211
0 9560 115717
2 60587 189659
2 36557 146635
1 109559 173397
1 111233 176973
2 121841 143200
1 45764 186143
1 87891 169307
1 138192 199770
2 151792 157305
1 2409 73023
0 49962 155930
0 189909 196598
1 86347 120678
1 167302 179672
0 85026 122872
1 25367 68750
1 7675 29611
1 29381 84433
1 48978 97525
2 16286 194439
1 33107 172216
2 78478 94139
2 75376 199156
0 82524 82811
1 906 84189
2 69291 157481
1 43468 193318
1 77751 131466
1 43082 157656
1 37521 141151
2 186980 197670
2 81119 104151
2 72847 123582
1 71724 145712
2 72630 147515
1 30111 72191
0 54938 189931
1 37749 150944
1 109035 195405
1 81004 136556
1 69260 134226
1 146084 154729
1 101386 194663
0 88548 140376
1 87891 158522
1 29037 76434
0 131372 168843
0 101968 198668
2 24056 29197
1 105060 199507
1 7339 174320
0 118503 120404
1 27138 138142
2 8621 26691
2 61828 101565
2 104017 130602
1 92669 99445
1 1414 187604
1 30611 36640
1 146470 164729
1 70161 145727
2 177303 188664
2 47256 132155
2 140776 144577
0 118957 182274
1 24215 139326
1 142590 148348
1 52304 108689
2 88945 189809
2 53674 178633
1 115753 188870
2 93056 173427
1 56665 78388
2 1242 37844
2 23991 183517
1 7732 111703
2 46369 66674
2 80481 175363
0 32358 165173
1 60158 131199
1 49028 176510
1 91982 138807
2 112471 133548
2 65115 171392
0 191240 195384
1 23439 119969
1 104377 186161
1 66642 153485
1 15352 138546
1 128903 146551
1 39413 89287
1 131396 165425
2 50971 160219
1 25335 193182
2 16575 136635
1 52896 96310
0 63716 73626
2 14149 27111
2 82009 139945
2 127265 147266
1 16552 131097
2 98329 163957
1 51977 149300
1 73544 142482
1 66504 195470
2 91780 171200
1 71848 99336
1 85997 129984
1 142294 143627
1 5912 172622
2 64520 137010
2 17319 195832
1 58540 185648
2 59193 197820
1 125697 162434
2 13250 176328
1 28938 43118
0 75274 183534
2 18901 67413
1 107875 149654
2 159160 172396
1 168228 185219
0 109607 143121
2 140941 183295
2 19727 115818
1 43811 196055
2 39173 63584
2 139059 155206
0 49177 122825
1 72479 85442
2 31640 43972
1 16859 139512
2 42818 85076
2 99936 142465
2 58284 90341
2 102095 122795
2 82032 168500
1 43142 153590
2 2767 109411
2 4561 194582
2 164886 187628
2 20750 153070
1 105826 119444
2 5762 145292
2 12455 112080
1 14948 51603
2 20103 30224
0 84673 179597
2 89009 194533
2 27219 83591
1 132384 187571
1 56993 185541
0 55557 176437
2 121729 168391
2 140042 150162
2 165110 169978
0 102009 195334
2 32424 196359
2 116429 190893
1 18112 119553
0 43590 66848
2 52389 132514
2 42188 107946
1 57688 192689
2 132731 195303
2 61726 102709
1 121070 179751
1 34232 69846
2 68310 102627
0 24101 138532
2 63483 182123
2 6788 114637
1 73177 90734
1 130865 183821
2 42521 198638
1 20599 163617
1 10059 116702
2 51835 150934
0 89970 135596
1 35351 159697
1 115195 139532
2 146320 178240
0 153406 177321
2 701 53580
0 52218 133121
0 15836 198273
2 82487 142247
2 4123 194082
1 404 195605
1 6067 152107
0 71414 183655
1 118883 161895
1 139216 197342
2 56269 65329
2 64182 189391
2 138260 187664
2 116585 186503
2 127965 190626
1 6631 102584
2 20893 25003
2 96417 111205
1 131653 141050
1 45347 149919
1 110676 112194
1 91211 128050
2 29471 112476
2 29090 62409
2 87951 106726
1 57246 113357
1 26945 50602
1 65104 161808
1 19210 86918
1 70627 169129
2 81323 109905
0 121804 125725
2 123094 154553
2 144752 183643
1 36562 187946
2 35351 45192
2 53075 188490
1 53594 95803
2 140513 151301
1 11140 54803
1 37397 87301
1 63179 159201
1 13916 198647
1 26828 143400
1 96314 185798
2 48017 167845
2 63250 101093
1 113248 125609
2 66128 180901
2 35705 109505
2 38363 123006
1 102537 164896
1 17155 32805
2 59633 140320
1 45431 47128
2 13277 141882
2 192879 198181
1 34840 42970
1 100968 141354
2 96602 126825
2 62991 81540
0 66778 162788
0 62470 179944
1 36616 173161
0 27253 83744
2 25626 94011
2 8786 140160
2 141007 183130
1 40836 102828
1 45550 137439
0 430 23978
2 41763 183560
1 78438 162382
1 31565 135544
1 160678 162797
2 135223 173160
1 39396 181946
0 52801 122953
1 101045 142133
2 166610 187684
0 75351 128014
2 86129 149281
1 102351 164567
2 151717 196133
2 37699 73163
2 7425 8386
2 47783 119129
2 16936 54642
2 5989 117981
2 943 198172
2 44147 76295
1 6904 141928
1 153221 160631
1 112348 178273
2 55221 150047
1 73824 94966
1 24223 192953
2 19075 163947
2 169584 169936
1 62226 84461
1 44960 58905
1 51864 183597
0 5085 194419
1 99711 169809
1 57683 154932
2 18721 166251
1 104498 190474
1 38057 125901
1 95485 104905
1 74064 89734
1 132969 191858
1 53926 116566
1 110986 174273
1 171604 197147
1 54830 164930
2 141008 189904
0 74557 94402
2 48811 117412
2 124215 153716
0 100954 159802
2 78506 151661
2 17370 121939
2 8098 12564
2 120263 184168
1 132140 149099
1 15301 90107
1 64713 81016
0 20951 198429
2 122644 186739
1 139950 164365
2 132406 134808
1 33417 152178
2 50994 76628
1 95909 196891
2 54323 129031
1 60684 67567
2 70716 125397
1 146349 168266
1 49440 147332
2 80115 130157
1 62564 172700
0 95981 133298
1 15835 63327
2 75588 110936
1 106558 129911
2 167631 197478
2 118811 184546
2 69165 183712
1 16497 130689
1 33015 96612
1 69312 75290
2 52374 118962
1 97987 134797
1 136581 162086
2 55714 184996
0 20230 152628
1 45431 187791
1 112382 171503
2 18545 42033
2 21125 51560
1 43202 46727
2 95576 134892
0 35391 109916
1 115568 162849
1 18563 71334
1 73362 155145
0 577 189221
1 29311 89627
2 59197 71344
1 45265 92470
0 44298 139197
2 112643 190441
1 16302 25832
2 54759 57753
0 129087 171654
1 73546 118801
2 108023 128065
2 170376 197650
0 100543 173199
2 18465 49254
0 49526 62763
1 9352 91758
0 108060 181106
2 62777 162820
1 23648 50826
2 3083 124372
0 52438 137663
2 139166 189172
2 39709 186344
2 54860 88964
0 54842 132199
2 148734 180546
0 72063 161652
2 24429 137577
2 144491 164430
0 167513 196845
2 21528 84352
1 127052 163530
2 73062 113396
1 39441 168256
2 16807 140638
0 20949 81894
1 153957 193019
2 73149 91534
2 32451 152378
1 42579 65575
0 149927 177080
1 29809 80371
1 102871 122829
2 58664 121348
2 115654 125183
1 100212 136604
2 45975 55787
2 119124 173014
2 31023 67927
2 53462 110506
0 3939 159766
1 662 87598
1 39843 58834
0 27114 161191
2 2726 196355
0 102938 182403
2 50345 158725
1 131740 188596
0 134734 162763
0 33250 132578
1 8696 113693
1 12647 144063
2 71481 120594
1 14948 199996
1 54415 127655
2 108136 110058
2 76755 131165
1 169 181703
2 32790 104649
0 66040 77056
1 96086 159969
0 79526 156501
2 83393 193448
1 43455 193444
2 47859 164709
2 72347 88690
1 31961 119864
0 120033 133957
1 24682 167694
1 80546 101738
0 42328 178060
2 57586 129158
1 28636 57331
0 100786 199595
0 65496 101854
1 70538 131768
2 71740 102499
2 36456 121171
2 4150 152305
1 1048 16230
1 62547 159728
1 4950 5239
2 20206 33875
2 145263 149822
1 63764 168028
1 99796 146476
1 87888 101536
0 92813 125411
1 77716 120475
2 93946 172819
1 72845 126902
2 175397 194147
1 130706 197830
2 75969 161242
2 139733 141793
1 86209 187839
1 104098 104424
1 113263 123507
2 33738 95399
1 6557 187794
1 49812 81237
0 25209 50760
0 23040 25523
2 100634 150512
2 25324 42427
2 30267 100867
0 51043 76207
2 139434 174550
0 44425 186302
1 27132 174096
1 20137 55333
1 2340 106093
2 62339 131616
2 82129 169395
2 23805 152421
2 75179 124672
1 499 879
0 56666 146269
2 5302 101091
1 14425 44575
2 30106 181064
0 179246 183405
1 162096 186300
2 131491 132746
1 83912 179827
2 69335 75444
0 21814 75943
0 108984 138565
0 3408 143867
1 74645 167783
2 22605 104751
2 349 132761
2 65362 186650
1 119396 129579
2 99223 192278
0 84910 195133
1 23076 122661
2 132060 167421
0 51821 185198
1 19604 104067
2 42209 183862
2 44722 91322
1 5339 156684
2 2616 44404
1 98609 194894
2 69430 190027
1 29041 199343
1 37903 112814
0 98012 98677
2 2079 136022
1 102294 131660
2 63368 148401
2 49139 185060
0 29464 169232
1 8721 44425
2 63785 113855
2 29550 120112
1 67454 199516
1 82483 127332
2 18505 190617
2 66517 106210
2 14918 180364
1 145841 180409
2 68003 149641
2 109132 158362
1 22148 61508
1 3911 142260
1 91707 141776
1 69108 175965
0 74587 176077
0 91641 198639
1 127341 179004
2 26410 124845
1 26890 109200
1 18333 56835
2 47558 79841
1 104 152136
0 2616 91811
2 36903 184128
0 37320 58715
1 66709 88947
0 90738 194050
2 23800 136812
1 20919 163703
2 383 20538
2 21858 68096
1 20232 98185
1 116773 139201
1 109841 176104
1 129776 172017
2 18723 126623
2 79869 109462
2 128470 133262
0 18269 70533
2 70916 100917
0 9127 34601
2 23664 48127
2 140437 178108
0 166630 199901
2 5821 138648
1 65271 70457
1 34506 61492
1 76254 106315
1 124584 171166
1 29781 141853
1 25286 176455
1 88888 140934
2 119042 172723
1 112110 118943
1 124765 143954
1 105574 111574
2 85917 146081
2 92075 138687
2 26205 147846
1 74151 172338
1 187724 197624
0 26776 86513
1 89492 175588
2 4050 8998
1 95135 148004
1 36271 169930
1 55848 126327
2 64275 194228
2 12121 84795
1 2624 183595
1 106700 140601
1 49828 74061
1 139321 148456
1 58245 64671
2 76158 86977
2 112430 156827
1 138251 155109
2 65689 98460
0 150485 197356
1 38809 50432
0 52600 191033
1 64015 65095
1 78296 129903
1 184516 188148
2 75125 94787
1 31952 69415
1 13973 86555
2 130731 185015
1 28116 98723
0 137532 137622
0 166105 190132
2 54148 101289
2 48796 86301
2 10634 149664
2 32342 44452
0 30219 130209
2 44192 56858
1 91275 138617
1 86065 119391
1 57013 183998
2 48715 139471
1 40760 188114
2 25312 127061
1 76061 137695
0 31310 86389
1 61685 132951
1 40364 189809
1 21950 128426
2 14491 188552
2 53878 114841
2 56736 163557
1 68023 166078
2 93336 129569
1 169397 174559
2 52862 117060
2 91969 178745
0 77647 135461
1 107517 157411
1 28662 62316
1 116194 185550
2 89282 115804
0 171712 185528
1 17633 96013
1 133558 192193
2 45055 141503
1 53377 119485
1 131024 146770
1 154894 163864
1 25737 99908
0 85459 102102
2 93308 117615
1 19495 164423
2 31860 103561
0 81771 136036
2 23274 170612
1 5896 59111
1 5881 52629
2 34823 86097
2 90780 111835
1 9054 130289
0 23597 159873
2 104372 116327
2 7933 44493
2 60321 106644
1 30933 160989
0 60389 153181
2 5810 45870
1 40633 162375
1 33775 131414
2 5083 56820
1 16693 178202
2 133020 185288
2 11869 93865
2 70311 116862
2 10524 77851
0 54592 174011
0 100462 112961
1 57792 62837
0 12964 88721
0 18047 64188
1 53593 112601
1 97889 182946
0 16672 109759
2 174683 180070
1 106947 109367
1 74985 197310
1 110137 110272
0 34747 168064
2 32694 173137
2 37326 162056
1 7271 148237
1 67464 190217
0 6889 36064
0 97924 98529
2 7292 194208
1 84090 198629
2 108766 144916
2 59865 106204
1 8912 163033
2 116475 170968
1 35557 120669
0 103022 121112
1 52148 55438
0 92944 153967
2 30162 64527
2 64969 190679
1 32154 126237
1 32441 100254
2 52770 111826
1 28302 178423
1 57755 148971
2 60709 186435
0 137529 154935
2 47879 53943
2 68281 194393
2 6263 101424
2 133579 142874
0 20956 150185
2 2955 158904
0 105763 181378
0 139943 155485
1 9680 16195
2 70076 98791
2 43340 124019
2 141856 192300
2 137603 198563
1 57790 198319
1 101624 195098
1 37370 154002
2 1294 176118
2 116061 193521
1 42093 51070
2 11407 140884
2 43031 184224
1 42432 122534
1 112783 180035
0 4457 94706
1 29709 196330
2 121499 150052
2 67698 132595
2 61219 125070
2 28642 189383
1 69890 156401
1 20474 199432
1 11430 121966
2 34750 111038
2 9209 155559
2 81523 101620
1 23119 148935
1 72067 170349
2 84234 197137
1 30531 186520
0 102570 172763
1 31844 193237
2 61695 121019
2 32057 133977
2 41267 186295
2 39142 133318
1 109376 188077
1 35485 74778
1 29293 159012
2 673 189544
2 8466 117046
2 156662 189821
0 18357 178379
2 5256 152335
2 54982 183235
1 104652 116773
2 14028 151932
1 49514 126562
0 78807 173259
1 133445 195832
2 80152 112879
1 19052 199622
2 113783 145034
2 35392 95113
2 18627 193601
1 49709 51753
2 120037 144958
2 46599 144637
2 102742 136210
1 69655 136211
2 66160 191929
2 139760 182134
2 127168 160606
1 116162 138633
2 48587 140404
1 19629 98296
2 3506 159606
1 1411 104243
2 123337 165183
1 7762 175901
1 78877 167830
1 23942 146520
1 65918 100901
1 17063 182748
2 51322 73819
1 54876 93448
0 13306 110182
2 1878 14718
2 96253 140172
0 14677 20367
2 75189 99244
1 118213 162116
1 28035 143371
2 95698 127135
2 94810 103011
2 42558 149686
1 113106 176220
2 143260 178098
2 118271 194009
2 49300 168096
2 34436 40841
1 68606 159054
0 18777 43071
2 30828 118436
2 127217 133839
1 9817 92749
1 5855 18569
0 124276 149115
1 77405 143125
1 111221 126787
1 62010 196536
2 130616 165530
2 90039 96640
2 8476 172137
2 52045 58417
1 155860 178214
1 2988 196783
2 121060 142689
2 60489 114817
0 12911 41605
0 38141 130986
2 3671 173549
2 16663 91519
1 144618 188800
0 28545 47218
0 46311 119430
2 38770 73178
2 105901 181460
0 158301 171388
1 12703 87564
0 18550 165240
2 179787 192100
2 41303 199971
2 60941 109210
1 89486 185593
2 30373 52149
1 53367 125327
0 73144 147581
1 118969 130334
1 48024 102341
2 13265 115953
2 167706 193052
2 55835 150707
2 44276 59917
2 21517 45510
0 78680 192235
1 45602 55273
2 35099 154284
2 67460 165433
1 22584 67774
2 181625 183727
2 67785 75569
1 123621 161612
2 84249 163979
2 22118 27286
1 96432 100798
1 17726 156071
0 26707 97052
1 7607 94167
0 33104 69835
2 63736 131081
1 6650 187253
2 20175 168263
1 3805 132242
2 75880 163704
1 169113 172312
2 106391 166758
2 3443 42710
2 11051 37408
1 113892 197238
2 58149 60974
0 102486 164580
1 101107 130960
1 21264 199407
1 152103 184968
0 126917 154082
1 37192 118881
1 66916 79902
2 33663 158010
1 143272 147555
1 77990 122056
0 27438 140894
1 71854 99888
2 56953 71261
1 62612 139716
2 27799 66633
2 81651 185514
0 41894 168782
2 5581 126793
2 96670 186417
1 64408 184998
2 8198 50653
2 24438 197239
1 44933 81391
2 30244 144003
2 84171 88154
2 8532 86158
1 86437 128052
0 49985 127893
1 35716 63008
1 91094 164358
2 68529 131363
0 128603 186858
1 89888 93393
1 120132 187542
2 21408 120655
0 38259 45539
2 131977 156976
1 128124 176222
1 11939 58769
1 59480 103033
1 40950 171562
2 74772 146971
1 84518 161077
2 72060 89279
2 9820 161483
1 154546 164431
2 117415 121408
0 124689 165884
2 24654 98300
2 486 51271
1 52248 157788
0 100941 104759
1 78237 182189
2 61774 71468
1 149303 165443
0 103850 106119
1 92335 137617
0 126880 178658
1 21296 193310
0 44581 160354
2 13182 86094
2 16101 114123
0 20880 108713
0 110177 170487
0 52282 187886
1 75416 158401
2 43730 167089
2 93969 133451
1 31617 189057
1 69317 191972
1 66415 78066
0 21302 94167
1 31399 80948
0 122783 141576
1 129463 152438
2 121231 131396
0 81313 130557
1 14765 67335
2 3822 99123
2 73140 124222
1 55907 193903
2 77209 193117
1 22807 158157
2 80940 161210
1 33378 186452
2 81127 180328
2 11684 132606
1 51972 195371
2 10846 181660
2 26614 135069
2 128972 179891
2 11235 38441
0 53099 61249
1 42714 138811
0 41616 173905
1 21944 150912
2 70902 165502
1 61405 122875
2 104535 172074
1 47501 86565
1 27393 106900
2 38628 66790
2 8079 20242
0 50793 131852
1 40754 141051
2 91963 99386
1 39146 57465
1 106941 118870
2 7296 170108
1 93861 160473
2 761 85907
1 56665 183904
1 65864 120498
1 52350 169017
1 10981 93104
0 94561 108843
1 32789 147989
0 54930 125568
1 57574 141390
1 10468 18215
2 10863 20474
1 38651 77139
1 21419 59356
2 12267 28373
2 155706 170261
2 69305 166619
1 60313 199408
2 25137 41329
1 25184 98903
1 25723 148880
2 36586 166437
1 75237 101107
1 96657 136034
0 91459 108924
2 99234 195537
2 32818 64843
2 125156 158893
2 66645 149309
0 8182 111008
2 14097 157062
0 51753 123499
2 26236 140958
1 161507 193344
1 84803 188837
1 100390 160893
2 88654 133208
1 92102 183035
1 76824 157763
1 68771 128294
1 78667 199220
0 167326 171116
2 183800 193562
2 71421 104425
2 121707 176611
2 137504 164265
0 2361 26158
1 9193 21652
2 2369 166099
2 93544 130663
1 9331 112818
1 121859 180447
1 54398 80599
1 44248 101376
1 23083 27443
0 11793 103701
1 96533 106062
2 30833 44067
1 10166 57236
1 103710 157754
2 43395 132881
2 128257 171092
1 13149 25490
1 175252 186091
1 41480 129886
2 141679 167967
0 148310 154564
0 154811 185397
0 42633 86858
2 21275 116739
2 86355 160135
1 4744 77118
0 17894 164680
2 49194 109498
2 35085 150978
1 35297 160411
1 183607 189438
2 40879 54770
2 136388 141629
2 42063 79256
2 84152 165611
0 59123 159081
1 5185 40113
2 5660 93090
1 157097 167086
1 33860 170968
0 23298 149233
2 165710 180529
1 83937 116917
1 75332 161149
1 155100 159485
1 25539 134960
1 17074 140145
1 26503 33236
1 116674 145430
2 3995 131687
1 153228 153241
2 74754 118939
1 51037 119228
0 85302 196729
2 68181 198822
2 93720 194306
2 27146 148870
1 53649 59900
1 176590 199079
0 47118 50377
1 74376 116711
2 121673 191465
1 149500 158855
2 10596 160509
2 147024 159331
1 42938 153637
1 18860 190163
1 77534 78760
1 55351 114493
1 22080 184479
1 96457 142107
2 134482 169316
0 31816 83982
2 94578 129896
2 24705 157955
1 893 187696
2 107408 160759
0 160968 184943
2 14827 15788
1 267 184118
1 58727 116879
1 28043 82703
1 123641 176212
1 106108 156138
2 32792 130814
1 118510 185130
0 7457 79269
1 40237 48644
2 168591 171417
2 60242 71887
2 105118 173973
2 100513 187821
0 27815 161535
2 106540 183953
1 133098 178828
0 34580 92718
2 40206 158389
2 123385 178750
1 91976 134941
1 68570 106920
2 158895 195519
2 142845 175760
2 118215 137296
2 160188 186148
1 55368 160190
1 64439 181398
2 104645 121116
1 56455 199747
2 134688 148384
0 95377 157960
2 30610 153480
1 96325 187312
1 15484 130892
2 71471 117041
2 27764 193583
1 33506 174982
2 12450 73829
0 185258 188892
0 110989 133642
1 145371 157766
0 73113 92333
2 63708 79646
1 95130 146416
0 82954 166419
0 27070 62963
2 131228 176928
2 147579 167109
2 156002 184928
2 22023 183343
2 26511 141109
2 72607 130574
0 104887 110635
1 57051 149844
2 23470 125694
1 2786 18585
0 134014 137764
1 31924 197945
1 99225 138535
2 37601 146756
1 4971 64112
2 53071 92206
1 74310 188126
0 24154 163692
1 149849 150740
2 84786 137095
1 22550 150519
1 54475 57224
2 109362 131039
2 160855 172471
1 174015 177442
2 160987 186000
1 162182 174126
0 54170 190364
1 75597 121263
1 58358 100653
0 125229 128494
0 6702 98806
1 29845 199207
2 90937 190700
1 20269 81067
2 42055 130064
1 92931 120589
1 46459 110954
1 102903 107790
2 3556 35322
2 47641 48403
1 171457 198862
2 4558 170664
1 35968 177953
2 114574 156202
0 44639 53878
1 53906 53922
2 28061 100381
1 124524 172739
1 38679 159846
1 7487 79330
1 122701 161562
0 26248 127259
2 37131 79580
2 35782 155066
2 6012 154069
2 111479 176270
2 4332 105831
1 11136 93423
0 19345 132102
1 63815 127784
1 89346 156687
2 31946 104665
2 56010 185429
1 56848 185309
2 10917 145535
1 38749 150399
2 9186 144580
1 1058 72068
2 1102 7766
2 71581 77344
2 28268 77426
2 210 49285
1 21648 50253
2 6957 96228
2 68844 94337
1 14810 19244
0 144782 195201
1 12629 145840
1 7127 63294
2 140638 166432
1 18065 137170
2 18275 29958
1 154692 184880
0 81108 181208
1 91797 148220
0 106607 158854
1 8236 18160
0 30789 118551
2 100934 154269
2 120701 174731
2 152813 174223
1 4181 42811
2 98447 158874
0 56434 175731
1 4655 176325
1 45763 163509
2 88097 134445
1 6648 84261
1 63565 107582
0 22515 198665
2 122103 151478
0 110642 156109
2 124741 125441
1 101173 194606
1 145578 193850
1 155965 188348
1 6762 54076
1 91023 137965
0 70940 168996
1 9807 37943
2 48262 143944
1 4371 107817
2 45465 192223
1 40071 68207
1 84273 102001
1 6701 104995
0 60778 121929
0 26961 115095
2 54994 84091
1 122035 190609
1 124889 182331
1 90148 127000
2 39753 198723
1 66930 194300
1 50019 151204
2 15941 172551
0 10832 137827
0 154146 182828
2 9140 35203
1 158519 199749
2 91641 124638
2 167991 189378
1 7744 91487
0 2044 155412
1 168416 175761
0 98111 184357
1 27162 38536
2 133344 137716
1 154621 172920
2 59989 131439
1 3745 139432
0 45163 46184
2 136650 178771
1 8414 26434
1 57380 184175
2 72233 82286
1 25801 143286
0 57875 159145
1 10258 113766
0 90107 171781
1 49405 93852
1 56388 168019
0 35160 138273
1 32623 177946
1 45369 151678
2 23912 142884
0 24755 83550
0 141425 145163
1 68035 119640
1 39816 67036
0 5573 62224
1 113196 173592
2 9331 28217
2 60840 158468
1 22562 116019
1 165446 174098
2 106553 114464
2 51717 80630
1 87709 122294
1 154745 194075
1 39612 133321
1 95354 162869
1 88552 123836
2 47020 187478
1 61770 79392
1 53490 87741
1 53976 167954
1 103761 164937
1 3583 127675
0 103272 197658
1 35037 153623
1 48977 88727
2 32362 89165
1 4214 192995
2 36906 54765
2 124865 142507
2 178269 196483
0 16597 54579
0 144272 182606
0 114694 163897
0 115286 117880
1 4014 54387
1 70115 152728
2 58044 156942
2 110200 125698
1 35065 72743
2 73279 129687
1 41770 100618
2 91549 199577
1 61264 114271
2 28637 32151
2 2890 149633
0 35958 73006
2 11448 47402
1 89452 96285
1 35887 162196
0 35475 117997
2 29294 77245
1 85147 157188
0 145706 146411
1 98122 175048
2 124681 165824
0 76991 153892
2 4791 94688
0 101076 108778
2 136963 149420
2 54960 141480
1 606 63227
1 85593 157794
1 103501 107535
1 1623 160101
1 161171 167447
2 121339 165131
0 132379 158449
1 115521 157509
1 106929 162046
2 164762 170767
2 14964 27989
1 52758 113582
2 92051 137470
1 13923 77755
2 91446 154859
2 156644 172929
2 131378 151772
1 151691 163252
1 125298 169038
2 6996 12418
2 132619 143734
2 112844 142497
2 4895 26521
2 14046 199002
1 3194 153861
2 26857 76141
1 178629 186779
2 46672 113444
1 15710 113970
1 137777 139058
2 71678 126347
1 59258 130527
2 105751 157048
1 6067 87446
1 6992 36658
0 42343 83133
1 137310 186264
2 80008 99708
1 130030 185957
1 133557 184159
1 9927 26858
2 30031 86116
1 162979 191868
1 17174 114287
1 150945 154019
1 109640 161077
2 46951 194992
1 123888 126959
1 29268 99456
1 79178 123438
0 89105 170127
1 35489 121197
1 2795 198468
1 41440 131995
2 83884 86014
2 133319 163444
0 74788 182240
1 17424 198677
2 14485 68669
1 49943 137924
1 24403 131729
1 61952 156726
2 64747 151487
1 22540 170820
2 106424 188088
1 72653 156095
1 66858 138335
2 24367 72112
1 108834 140781
2 22570 190724
1 38806 131836
1 130208 195532
1 63371 80420
1 29101 34191
0 109777 138631
1 109172 127636
2 72010 110846
1 25989 135213
1 44048 178645
2 62139 182970
1 114807 116260
0 161367 194785
1 41787 135262
2 70889 140486
1 84603 97018
1 51495 122542
2 174483 194553
2 20542 152159
2 85594 115540
1 76163 94031
1 10291 173808
1 5076 26611
2 56690 74946
1 103004 113529
1 81605 198132
2 115189 165979
2 76409 140463
2 92622 148475
2 72107 94568
2 39787 87083
0 177243 190438
1 3854 55895
0 195152 199072
1 14508 184036
1 39889 96113
1 109112 127654
1 4063 100878
1 3549 68891
2 43115 140998
1 180786 198220
2 163709 171224
1 139489 143471
2 36697 142543
1 106948 126579
0 82820 174376
2 156288 191933
2 9163 104180
2 12713 108886
1 122567 172180
2 147168 170400
2 58852 134109
0 147780 189950
2 143000 156915
2 49948 77554
1 12701 24325
2 96965 160314
1 1145 35582
2 26384 114913
1 65303 179487
2 12471 185059
0 71323 87770
1 135456 161704
0 8723 179110
1 55412 86277
0 15330 58293
2 60346 175645
1 54333 127579
1 57483 158844
1 138331 189698
1 10445 39742
0 85240 127512
1 5569 126849
2 158409 184679
1 49320 156443
2 131088 190180
1 71717 191435
1 50220 162120
1 19603 29868
1 125653 152252
2 136098 139939
2 56449 137690
1 44282 180892
1 139301 167572
0 99584 188621
1 34226 95154
2 166871 184198
2 17091 142519
2 112067 163311
1 31915 156811
2 88206 139886
2 79055 144655
2 145737 188938
0 134340 156510
1 23975 172446
2 6672 70053
2 107222 163571
1 48525 49741
1 95598 161808
2 118619 194979
2 103660 174857
1 53913 181144
1 116002 196318
1 50343 192384
1 44103 190670
1 795 177075
1 52642 140646
2 71360 189171
2 1122 23521
1 138994 196101
1 2735 16113
1 154682 197257
2 109927 167636
2 102311 169529
1 62766 127931
2 63562 175132
2 29006 116204
1 106454 187564
2 117291 127437
1 122641 182784
2 46611 185519
1 56553 145438
1 24189 98178
1 83272 193718
0 38002 118710
1 61169 129486
2 74844 180704
2 40885 181298
2 6589 14942
1 89768 137583
2 169047 184194
2 45984 180792
1 60514 106147
0 141429 143787
2 178849 195374
1 112086 156370
0 8712 137074
1 21542 94311
2 17253 138288
1 23373 182472
1 108772 125791
2 54630 89565
2 72725 112064
1 53493 115010
1 48867 151014
2 57723 160954
0 93919 169666
1 4960 107561
0 13651 45849
1 28321 120932
2 154113 198500
1 125095 143911
1 51659 197820
0 112831 136273
1 164674 180197
2 37920 171924
1 48192 51896
0 53152 185295
0 13006 66803
1 90673 104087
2 102587 191714
1 1527 162851
0 130862 133609
2 61403 67135
2 148161 159042
2 105548 120085
2 45713 88333
1 73629 155544
2 86635 172936
2 36177 93660
1 44092 85374
1 3253 122472
1 42299 136862
2 76299 198265
2 23129 73659
2 66509 95560
0 64161 141273
1 96817 110005
1 125353 186105
1 123856 138634
2 99079 142798
1 64327 137903
2 65060 180203
2 56502 113006
0 28088 195983
1 7682 62492
2 43005 107362
2 11727 153010
1 73369 194715
2 118571 137998
1 12639 61369
2 42049 172655
1 19573 107109
2 119705 136467
2 80907 134454
1 22863 88590
2 112304 123184
1 124031 164778
0 19541 113752
1 60409 168102
1 156264 180741
2 151197 153397
